Country,Degree Centrality,Closeness Centrality,Betweenness Centrality
France,0.7777777777777777,0.8181818181818182,0.04583333333333333
Russia,0.8888888888888888,0.9,0.07685185185185185
Germany,0.6666666666666666,0.75,0.026388888888888885
Italy,0.4444444444444444,0.6428571428571429,0.004629629629629629
United States,1.0,1.0,0.12546296296296294
Japan,0.7777777777777777,0.8181818181818182,0.07824074074074074
China,0.6666666666666666,0.75,0.010185185185185186
India,0.6666666666666666,0.75,0.010185185185185186
United Kingdom,0.6666666666666666,0.75,0.011111111111111112
Canada,0.3333333333333333,0.6,0.0
